municipio,Ano,focos
BREVES,2016,193
BREVES,2017,214
BREVES,2018,105
BREVES,2019,78
BREVES,2020,150
BREVES,2021,44
BREVES,2022,124
BREVES,2023,145
BREVES,2024,78
BUJARU,2008,347
BUJARU,2009,291
BUJARU,2010,266
BUJARU,2011,218
BUJARU,2012,259
BUJARU,2013,230
BUJARU,2014,205
BUJARU,2015,178
BUJARU,2016,176
BUJARU,2017,216
BUJARU,2018,114
BUJARU,2019,109
BUJARU,2020,113
BUJARU,2021,75
BUJARU,2022,129
BUJARU,2023,137
BUJARU,2024,113
CACHOEIRA DO ARARI,2008,84
CACHOEIRA DO ARARI,2009,86
CACHOEIRA DO ARARI,2010,47
CACHOEIRA DO ARARI,2011,110
CACHOEIRA DO ARARI,2012,102
CACHOEIRA DO ARARI,2013,56
CACHOEIRA DO ARARI,2014,124
CACHOEIRA DO ARARI,2015,107
CACHOEIRA DO ARARI,2016,64
CACHOEIRA DO ARARI,2017,63
CACHOEIRA DO ARARI,2018,63
CACHOEIRA DO ARARI,2019,75
CACHOEIRA DO ARARI,2020,59
CACHOEIRA DO ARARI,2021,30
CACHOEIRA DO ARARI,2022,63
CACHOEIRA DO ARARI,2023,76
CACHOEIRA DO ARARI,2024,71
CACHOEIRA DO PIRIÁ,2008,337
CACHOEIRA DO PIRIÁ,2009,366
CACHOEIRA DO PIRIÁ,2010,151
CACHOEIRA DO PIRIÁ,2011,257
CACHOEIRA DO PIRIÁ,2012,221
CACHOEIRA DO PIRIÁ,2013,166
CACHOEIRA DO PIRIÁ,2014,194
CACHOEIRA DO PIRIÁ,2015,301
CACHOEIRA DO PIRIÁ,2016,120
CACHOEIRA DO PIRIÁ,2017,216
CACHOEIRA DO PIRIÁ,2018,71
CACHOEIRA DO PIRIÁ,2019,112
CACHOEIRA DO PIRIÁ,2020,133
CACHOEIRA DO PIRIÁ,2021,80
CACHOEIRA DO PIRIÁ,2022,131
CACHOEIRA DO PIRIÁ,2023,234
CACHOEIRA DO PIRIÁ,2024,263
CAMETÁ,2008,522
CAMETÁ,2009,328
CAMETÁ,2010,285
CAMETÁ,2011,242
CAMETÁ,2012,342
CAMETÁ,2013,345
CAMETÁ,2014,281
CAMETÁ,2015,339
CAMETÁ,2016,391
CAMETÁ,2017,443
CAMETÁ,2018,175
CAMETÁ,2019,194
CAMETÁ,2020,271
CAMETÁ,2021,156
CAMETÁ,2022,292
CAMETÁ,2023,506
CAMETÁ,2024,344
CANAÃ DOS CARAJÁS,2008,52
CANAÃ DOS CARAJÁS,2009,24
CANAÃ DOS CARAJÁS,2010,112
CANAÃ DOS CARAJÁS,2011,47
CANAÃ DOS CARAJÁS,2012,66
CANAÃ DOS CARAJÁS,2013,28
CANAÃ DOS CARAJÁS,2014,72
CANAÃ DOS CARAJÁS,2015,122
CANAÃ DOS CARAJÁS,2016,154
CANAÃ DOS CARAJÁS,2017,197
CANAÃ DOS CARAJÁS,2018,18
CANAÃ DOS CARAJÁS,2019,82
CANAÃ DOS CARAJÁS,2020,49
CANAÃ DOS CARAJÁS,2021,37
CANAÃ DOS CARAJÁS,2022,39
CANAÃ DOS CARAJÁS,2023,11
CANAÃ DOS CARAJÁS,2024,78
CAPANEMA,2008,43
CAPANEMA,2009,30
CAPANEMA,2010,49
CAPANEMA,2011,22
CAPANEMA,2012,28
CAPANEMA,2013,19
CAPANEMA,2014,19
CAPANEMA,2015,34
CAPANEMA,2016,30
CAPANEMA,2017,20
CAPANEMA,2018,6
CAPANEMA,2019,19
CAPANEMA,2020,22
CAPANEMA,2021,3
CAPANEMA,2022,18
CAPANEMA,2023,27
CAPANEMA,2024,25
CAPITÃO POÇO,2008,245
CAPITÃO POÇO,2009,214
CAPITÃO POÇO,2010,203
CAPITÃO POÇO,2011,263
CAPITÃO POÇO,2012,181
CAPITÃO POÇO,2013,174
CAPITÃO POÇO,2014,130
CAPITÃO POÇO,2015,164
CAPITÃO POÇO,2016,131
CAPITÃO POÇO,2017,145
CAPITÃO POÇO,2018,57
CAPITÃO POÇO,2019,91
CAPITÃO POÇO,2020,107
CAPITÃO POÇO,2021,92
CAPITÃO POÇO,2022,158
CAPITÃO POÇO,2023,155
CAPITÃO POÇO,2024,172
CASTANHAL,2008,108
CASTANHAL,2009,84
CASTANHAL,2010,55
CASTANHAL,2011,80
CASTANHAL,2012,74
CASTANHAL,2013,49
CASTANHAL,2014,53
CASTANHAL,2015,57
CASTANHAL,2016,50
CASTANHAL,2017,53
CASTANHAL,2018,23
CASTANHAL,2019,21
CASTANHAL,2020,27
CASTANHAL,2021,21
CASTANHAL,2022,40
CASTANHAL,2023,33
CASTANHAL,2024,38
CHAVES,2008,180
CHAVES,2009,236
CHAVES,2010,35
CHAVES,2011,178
CHAVES,2012,283
