year,areakm,municipality,geocode_ibge,state,FullLocation,Ano,Código do Município,Nome do Município,"Produto Interno Bruto per capita, 
a preços correntes
(R$ 1,00)"
2011,0.0,Ananindeua,1500800,Pará,"Ananindeua, Pará, Brazil",2011.0,1500800.0,Ananindeua,9689.26
2012,0.0830101906735353,Ananindeua,1500800,Pará,"Ananindeua, Pará, Brazil",2012.0,1500800.0,Ananindeua,10571.16
2013,0.0,Ananindeua,1500800,Pará,"Ananindeua, Pará, Brazil",2013.0,1500800.0,Ananindeua,9920.11
2014,0.0,Ananindeua,1500800,Pará,"Ananindeua, Pará, Brazil",2014.0,1500800.0,Ananindeua,11550.96
2015,0.0,Ananindeua,1500800,Pará,"Ananindeua, Pará, Brazil",2015.0,1500800.0,Ananindeua,12312.27
2016,0.0,Ananindeua,1500800,Pará,"Ananindeua, Pará, Brazil",2016.0,1500800.0,Ananindeua,13152.6
2017,0.0,Ananindeua,1500800,Pará,"Ananindeua, Pará, Brazil",2017.0,1500800.0,Ananindeua,13526.5
2018,0.0,Ananindeua,1500800,Pará,"Ananindeua, Pará, Brazil",2018.0,1500800.0,Ananindeua,14314.02
2019,0.0,Ananindeua,1500800,Pará,"Ananindeua, Pará, Brazil",2019.0,1500800.0,Ananindeua,15385.55
2020,0.0,Ananindeua,1500800,Pará,"Ananindeua, Pará, Brazil",2020.0,1500800.0,Ananindeua,15156.79
2021,0.0,Ananindeua,1500800,Pará,"Ananindeua, Pará, Brazil",2021.0,1500800.0,Ananindeua,16542.68
2022,0.0,Ananindeua,1500800,Pará,"Ananindeua, Pará, Brazil",,,,
2023,0.0,Ananindeua,1500800,Pará,"Ananindeua, Pará, Brazil",,,,
2024,0.0,Ananindeua,1500800,Pará,"Ananindeua, Pará, Brazil",,,,
2008,74.62669637906592,Anapu,1500859,Pará,"Anapu, Pará, Brazil",2008.0,1500859.0,Anapu,4324.87
2009,26.76604166116152,Anapu,1500859,Pará,"Anapu, Pará, Brazil",2009.0,1500859.0,Anapu,4292.46
2010,77.50600804557838,Anapu,1500859,Pará,"Anapu, Pará, Brazil",2010.0,1500859.0,Anapu,5443.39
2011,223.26593787860864,Anapu,1500859,Pará,"Anapu, Pará, Brazil",2011.0,1500859.0,Anapu,6404.06
2012,15.828314449444454,Anapu,1500859,Pará,"Anapu, Pará, Brazil",2012.0,1500859.0,Anapu,8057.03
2013,19.161279711186623,Anapu,1500859,Pará,"Anapu, Pará, Brazil",2013.0,1500859.0,Anapu,8889.17
2014,32.10045130364817,Anapu,1500859,Pará,"Anapu, Pará, Brazil",2014.0,1500859.0,Anapu,10491.0
